epoch,train_loss,val_loss,val_f1,elapsed_s
1,0.92431,0.83391,0.31985,0.4
2,0.88942,0.81174,0.32147,0.4
3,0.86102,0.76767,0.32165,0.4
4,0.80828,0.72853,0.32197,0.4
5,0.75496,0.69716,0.32197,0.4
6,0.67584,0.66768,0.34588,0.4
7,0.65239,0.68551,0.33493,0.4
8,0.62707,0.65604,0.32243,0.4
9,0.59374,0.65184,0.35254,0.4
10,0.57331,0.6465,0.3444,0.4
11,0.54904,0.63881,0.36645,0.4
12,0.54045,0.6356,0.37386,0.4
13,0.52137,0.64843,0.32171,0.4
14,0.51469,0.62024,0.37195,0.4
15,0.48959,0.61548,0.37554,0.4
16,0.48078,0.61454,0.38318,0.4
17,0.47051,0.61696,0.38028,0.4
18,0.47564,0.5987,0.40373,0.4
19,0.4621,0.58454,0.41463,0.4
20,0.4564,0.575,0.42365,0.4
21,0.45014,0.56609,0.43455,0.4
22,0.44303,0.57609,0.42263,0.4
23,0.44703,0.54699,0.44994,0.4
24,0.4286,0.51876,0.48135,0.4
25,0.41296,0.51103,0.51349,0.4
26,0.42189,0.49815,0.48896,0.4
27,0.40995,0.48934,0.54139,0.4
28,0.40923,0.48436,0.52721,0.4
29,0.39055,0.49088,0.53688,0.4
30,0.38935,0.45649,0.58002,0.4
