epoch,train_loss,val_loss,val_f1,elapsed_s
1,1.02967,1.23612,0.46237,1.7
2,1.00904,1.22466,0.50392,0.2
3,1.00571,1.21383,0.55864,0.2
4,0.99256,1.20159,0.63526,0.2
5,0.98155,1.18691,0.63854,0.2
6,0.9803,1.16904,0.64845,0.2
7,0.95293,1.14668,0.65304,0.2
8,0.94225,1.12151,0.65326,0.2
9,0.91471,1.09373,0.64996,0.2
10,0.89453,1.06765,0.64039,0.2
11,0.8692,1.0452,0.63293,0.2
12,0.83224,1.01883,0.63818,0.2
13,0.8149,0.98885,0.65174,0.2
14,0.79319,0.97362,0.64758,0.2
15,0.7678,0.97269,0.64495,0.2
16,0.76103,0.97264,0.64529,0.2
17,0.74897,0.97454,0.64469,0.2
18,0.74109,0.97285,0.64502,0.2
19,0.72467,0.96638,0.6451,0.2
20,0.72073,0.95911,0.64357,0.2
21,0.71932,0.95519,0.64474,0.2
22,0.70778,0.95082,0.64757,0.2
23,0.71059,0.94649,0.65273,0.2
24,0.69841,0.94231,0.65796,0.2
25,0.70293,0.93877,0.65977,0.2
26,0.69296,0.93579,0.66013,0.2
27,0.69219,0.93315,0.65956,0.2
28,0.68795,0.93059,0.66022,0.2
29,0.68228,0.92791,0.66137,0.2
30,0.68438,0.92566,0.66214,0.2
